機構名稱,地址,電話,x,y
佳和藥局,臺北市中正區黎明里公園路30號,,121.5168566,25.0444824
正康藥局,臺北市中正區漢口街1段22號,(02)23712831,121.5142319,25.04507378
進達健保藥局,臺北市中正區中華路二段453號,(02)23039829,121.5096102,25.02490113
活力健康藥妝藥局,臺北市中正區中華路二段315巷1號,(02)23392625,121.5061962,25.02794934
信康藥局,臺北市中正區南昌路一段143號,(02)23961979,121.5185922,25.0295324
保德中華藥局,臺北市中正區中華路二段159號,(02)23027720,121.5042504,25.03101283
71恩典藥局,臺北市中正區信義路二段71號,(02)23223371,121.5263958,25.034666
豐仁藥局,臺北市中正區寧波西街161號,(02)23033908,121.5109466,25.02735594
立赫健保藥局,臺北市中正區新生南路一段16之2號,(02)33223231,121.5326126,25.04322641
宏越藥局,臺北市中正區中華路2段319號1樓,(02)23050880,121.506273,25.02782978
大盛藥局,臺北市中正區中華路一段21巷16號,(02)23316807,121.5105356,25.04645058
北車維康藥局,臺北市中正區青島西路11號,(02)23613509,121.5177666,25.04498758
和眾藥局,臺北市中正區忠孝西路一段6號,(02)23911393,121.5180284,25.04582575
躍獅南門藥局,臺北市中正區中華路二段39巷10號,(02)23141111,121.5073633,25.03483495
桐心藥局,臺北市中正區金華街18之6號1樓,(02)23581663,121.5202152,25.03175306
珍忻藥局,臺北市中正區南昌路一段65號,(02)23965115,121.517452,25.03106799
博昱連雲藥局,臺北市中正區連雲街72號、72之1號,(02)23581898,121.5299712,25.03454651
鈞安藥局,臺北市中正區中華路2段425號1樓,(02)23098282,121.5088598,25.02539709
躍獅東門藥局,臺北市中正區金山南路1段108之1號(1樓),(02)23920339,121.5198716,25.0421407
康呈安藥局,臺北市中正區汀州路2段187號1樓,(02)23672215,121.5219845,25.02403149
汀州藥局,臺北市中正區汀州路1段187、189、191號(1樓),(02)23090705,121.511146,25.0269395
中英大藥局,臺北市中正區永綏街6號1樓,(02)23615654,121.5111801,25.04299801
子榕藥局,臺北市中正區博愛路9號3樓,(02)23116993,121.5115032,25.04591542
愛國藥局,臺北市中正區延平南路210號(1樓),(02)23826211,121.5074698,25.0347608
中力藥局,臺北市中正區襄陽路13之5號1樓、15號(1樓),(02)23313768,121.5155382,25.04349556
專品公園藥局,臺北市中正區公園路32號1樓,(02)23142338,121.516754,25.04410123
日上藥局,臺北市中正區汀州路1段366號1樓、368號1樓,(02)23378096,121.5131885,25.02632858
博醫和平藥局,臺北市中正區中華路2段75巷1弄39號1樓,(02)23120053,121.506759,25.03496529
臨沂中西藥局,臺北市中正區忠孝東路2段134巷26號(1樓),,121.5268527,25.043762
躍獅南寧藥局,臺北市中正區南昌路1段81號1樓,(02)23967072,121.5178122,25.03057386
專品南昌藥局,臺北市中正區南昌路1段66號1樓,(02)23560069,121.5171172,25.03120561
利保肝博愛藥局,臺北市中正區博愛路9號1樓,(02)23123119,121.5115032,25.04591542
南昌春天藥局,臺北市中正區南昌路1段157號1樓,(02)23972886,121.5187816,25.0292682
健歆藥局,臺北市中正區金山南路1段139號1樓,(02)23912858,121.5275891,25.0351731
和平藥局,臺北市中正區中華路2段43號1樓,(02)23755303,121.5063729,25.03508199
立赫景福藥局,臺北市中正區公園路28號1樓,(02)23616162,121.516969,25.04485133
十二願禮藥局,臺北市中正區許昌街4號(1樓),(02)23143004,121.5170434,25.0454278
森詠藥局,臺北市中正區南昌路1段130號1樓,(02)23962120,121.5183291,25.0295693
華山原美學藥局,臺北市中正區金山南路1段58號6樓,(02)23940150,121.5289806,25.04071163
崇信藥局,臺北市中正區齊東街８８號,(02)23417557,121.5271509,25.04162388
民生藥局,臺北市中正區濟南路二段45之1號,(02)23416470,121.5305404,25.040599
新德星中西藥局,臺北市中正區信陽街３號１樓,(02)23614598,121.5168723,25.04469998
東鴻藥局,臺北市中正區臨沂街７１巷３號,(02)23218648,121.5283109,25.0353619
祥全藥局,臺北市中正區信義路二段７９巷１５號之８一樓,(02)23939339,121.5269142,25.035225
新介春藥局,臺北市大同區酒泉街１６６號,(02)25862265,121.5117089,25.07201415
惠眾藥局,臺北市大同區重慶北路三段三三五巷四十三號,(02)25981269,121.5136876,25.070191
柯藥局,臺北市大同區重慶北路三段３３５巷６號,(02)25948515,121.5143673,25.0745193
時春藥局,臺北市大同區赤峰街４號,(02)25597918,121.5191148,25.05355692
裕仁藥局,臺北市大同區迪化街二段270之1號,(02)25910064,121.5114585,25.07068401
健康藥局,臺北市大同區寧夏路２３號之４,(02)25551219,121.5151234,25.05512088
泰元藥局,臺北市大同區哈密街九十一號,(02)25914592,121.5146192,25.0730297
正中藥局,臺北市大同區民族西路二一三號,(02)25976937,121.5142206,25.0687427
保慶藥局,臺北市大同區保安街21號,(02)25538988,121.5129438,25.05925826
快安藥局,臺北市大同區南京西路282、284號,(02)25561925,121.514593,25.0534849
得意藥師藥局,臺北市大同區延平北路二段229號,(02)25534294,121.5114674,25.0602889
健康美藥局,臺北市大同區民族西路165號,(02)25976707,121.515522,25.06872156
宏泰藥師藥局,臺北市大同區酒泉街123號1樓,(02)25957025,121.5146752,25.07212952
儷安藥局,臺北市大同區錦西街53巷16號,(02)25578033,121.5158324,25.06065271
富康藥局,臺北市大同區延平北路二段126號,(02)25537782,121.5114593,25.05733357
佳禾藥局,臺北市大同區大龍街262號,(02)25953806,121.5158326,25.07060943
躍獅雙蓮藥局,臺北市大同區涼州街4號,(02)25537551,121.5146778,25.0607761
延平新聖安藥局,臺北市大同區延平北路三段35號,(02)25923399,121.5112006,25.06474679
旭豐藥局,臺北市大同區昌吉街96號,(02)25853880,121.5151208,25.06582371
中興聯合藥局,臺北市大同區鄭州路127號(實際營業地址：1樓),(02)25502952,121.5108035,25.050385
躍獅文昌藥局,臺北市大同區民生西路108號(實際營業:一層),(02)25586189,121.519676,25.05740036
新聖安藥局,臺北市大同區昌吉街130號,(02)25977877,121.5142818,25.06583938
大同民生藥局,臺北市大同區民生西路128號(1樓、2樓)及130號(1樓、2樓),(02)25558886,121.5191196,25.0573343
123宅藥局,臺北市大同區鄭州路123號(1樓),,121.510881,25.050355
慶福藥局,臺北市大同區南京西路 233巷2號(1樓),(02)25503628,121.5104049,25.0539876
延平藥局,臺北市大同區延平北路3段4號1樓,(02)25986800,121.5110505,25.06343661
立赫大龍藥局,臺北市大同區大龍街263號(1樓),(02)25953233,121.5159775,25.0716743
春鄰藥局,臺北市大同區華亭街1號(1樓),(02)25526289,121.5133706,25.0522164
德芳藥局,臺北市大同區民生西路91號1樓,(02)25576869,121.5193694,25.05761803
光年藥局,臺北市大同區民族西路258號1樓,,121.5121469,25.06853408
圓保藥局,臺北市大同區酒泉街131號(1樓),(02)25850045,121.5144821,25.0721497
慈仁藥局,臺北市大同區歸綏街２６１號１樓,(02)25572733,121.5101298,25.05832209
三省大藥局,臺北市大同區民族西路３０３巷１９號１樓,(02)25353540,121.510236,25.06926528
三銘大藥局,臺北市大同區迪化街一段80號,(02)25583392,121.509909,25.05580837
弘仁全民藥局,臺北市大同區重慶北路2段119號1樓,(02)225579235,121.5138797,25.05756886
建祥藥局,臺北市大同區寧夏路17號、17-1號,(02)25564339,121.5150437,25.05485023
華南藥局,臺北市大同區迪化街二段二一五號之一,(02)25921093,121.5116909,25.07036682
德葳藥局,臺北市大同區延平北路二段二一一號一樓,(02)25573474,121.5115042,25.05973935
酒泉春天藥局,臺北市大同區酒泉街94號1樓、2樓,(02)25977932,121.514555,25.07193436
弘元中西藥局,臺北市中山區長安東路2段64號1樓,(02)25185688,121.5335125,25.048345
錦西春天生活藥局,臺北市中山區錦西街10號1樓,(02)25312658,121.5215743,25.06024008
喜康中西藥局,臺北市中山區錦州街185號1樓,(02)25222488,121.5311529,25.06041838
沛久藥局,臺北市中山區林森北路291號(1樓),,121.5256357,25.0556793
艾禾藥局,臺北市中山區大直街63號1樓,,121.546436,25.08352992
中崙藥局,臺北市中山區八德路2段307號(1樓),(02)27114971,121.542655,25.047402
錦州藥局,臺北市中山區錦州街244號1樓,(02)25026650,121.5338696,25.06026262
農安藥局,臺北市中山區農安街18之1號1樓,(02)25959293,121.5247732,25.06483218
吉林藥局,臺北市中山區吉林路371號(1樓),(02)25865990,121.5304933,25.0650386
滿順藥局,臺北市中山區伊通街54號(1樓),(02)25075283,121.5346392,25.0514481
躍獅冠冠藥局,臺北市中山區中原街17號1樓,(02)25433431,121.5289329,25.05585818
永直藥局,臺北市中山區北安路595巷2弄6號1樓,(02)85098059,121.5482952,25.08192618
中山伊通藥局,臺北市中山區伊通街97之2號,,121.5348936,25.05317459
杏一龍錦藥局,臺北市中山區龍江路279號1樓,(02)25174618,121.5408299,25.05973159
十二願湛藥局,臺北市中山區樂群二路178號1樓,(02)85022178,121.5579856,25.07958071
明水藥局,臺北市中山區明水路651號1樓,(02)25331121,121.5508491,25.08301872
起點藥局,臺北市中山區雙城街3巷18號1樓,,121.5252291,25.06326224
吉林台安藥局,臺北市中山區吉林路399號1樓,(02)25969580,121.5305078,25.06587178
農安台安藥局,臺北市中山區農安街267號1樓,(02)25038205,121.5358091,25.06476458
美康正康藥局,臺北市中山區北安路616之1號(1樓) 、618號2樓之1,(02)25323077,121.5490517,25.0824259
易康藥局,臺北市中山區堤頂大道2段302號(1樓)、304號(1樓),(02)85029138,121.5643243,25.0783725
星安藥局,臺北市中山區龍江路278號1樓,(02)25168112,121.5406644,25.06084117
躍健康藥局,臺北市中山區八德路2段298號(1樓),(02)27772715,121.5421421,25.0469978
大信藥局,臺北市中山區林森北路159巷6號,(02)25719080,121.5255415,25.05169934
承恩藥局,臺北市中山區林森北路119巷55號1樓,(02)25625117,121.5269316,25.05036026
明美藥局,臺北市中山區長春路６９號１樓,(02)25365419,121.5265867,25.0550218
長生藥局,臺北市中山區松江路３６２巷５５號１樓,(02)25816210,121.5313135,25.06206744
能康藥局,臺北市中山區長春路４６號,(02)25429426,121.5256293,25.05481774
貢玄藥局,臺北市中山區錦州街２0７號,(02)25637847,121.5319628,25.06039407
建元藥局,臺北市中山區德惠街79巷8號,(02)25986171,121.5284529,25.0670582
榮昌藥局,臺北市中山區雙城街十七之三號,,121.5244152,25.06463068
華友藥局,臺北市中山區龍江路３５６巷２７號１樓,(02)25007159,121.5398617,25.06607623
惠友藥局,臺北市中山區一江街６０號一樓,(02)25712813,121.5314085,25.05444439
康仁藥局,臺北市中山區北安路578巷8弄3號,(02)25323739,121.548865,25.08063238
名章藥局,臺北市中山區興安街５１－５號１樓,(02)25034331,121.5412817,25.05620776
大直藥局,臺北市中山區北安路617號1樓,(02)25320522,121.5488379,25.08272832
慈海藥局,臺北市中山區中原街一四三號,(02)25940989,121.5291312,25.06427377
蓁榛健康生活藥局,臺北市中山區合江街100之2號1樓,(02)25097780,121.53911,25.05845421
中興藥局,臺北市中山區長安東路2段226號,(02)27774628,121.5427089,25.04818087
王中興藥局,臺北市中山區龍江路273號,(02)25034281,121.5408259,25.05955642
興耀生活藥局,臺北市中山區林森北路405號(1樓),(02)25818210,121.5256883,25.0593503
視美藥局,臺北市中山區民權東路三段６０巷８號１樓,(02)25019597,121.5423043,25.06160802
百源堂大藥局,臺北市中山區長安東路二段四十七之五號一樓,(02)25630711,121.5322474,25.04857182
名祥藥局,臺北市中山區龍江路１６６號,(02)25036265,121.5404011,25.05505954
順泰藥局,臺北市中山區錦州街266號1樓,(02)25038916,121.5347502,25.06025322
優豐藥局,臺北市中山區民生東路一段三十二號,(02)25602565,121.524223,25.05793492
泰興藥局,臺北市中山區新生北路二段６２巷３２號,(02)25371586,121.5263361,25.05613101
阿里藥局,臺北市中山區錦州街251號1樓,(02)25020638,121.5341938,25.06039343
良佑藥局,臺北市中山區撫順街６之２號１樓,(02)25916402,121.5214126,25.06365813
第一藥局,臺北市中山區合江街１７巷６號,(02)25030124,121.5394128,25.05510083
立大藥局,臺北市中山區吉林路144巷14號,(02)25313844,121.5295776,25.05598437
長青藥局,臺北市中山區興安街５５號１樓,(02)25053160,121.5418871,25.05620708
晏晟藥局,臺北市中山區林森北路６２５號,(02)25851445,121.5258586,25.0670343
美日藥局,臺北市中山區天津街六十六號一樓,(02)25631662,121.5232742,25.05136434
人人藥局,臺北市中山區吉林路二六七號一樓,(02)25630798,121.5303983,25.06208985
文德藥局,臺北市中山區龍江路356巷22號1樓,(02)25181178,121.5399659,25.065915
展佑藥局,臺北市中山區長春路一四六之一號,(02)25232803,121.5317112,25.05472764
祥泰藥局,臺北市中山區林森北路136號,(02)25614200,121.5250871,25.05141934
嘉恩藥局,臺北市中山區錦州街321號,(02)25181418,121.538508,25.06032598
樂活苑藥局,臺北市中山區北安路546號1樓,(02)25323296,121.547952,25.08014025
麗亞藥局,臺北市中山區雙城街32號,(02)25981065,121.5242361,25.06634085
大愛藥師藥局,臺北市中山區吉林路255號,(02)25424723,121.5303915,25.06164733
久大藥局,臺北市中山區林森北路480號,(02)25111594,121.5254776,25.06126938
專心藥局,臺北市中山區伊通街112之2號,(02)25155847,121.5347251,25.0542576
康林藥局,臺北市中山區興安街105號,(02)25171867,121.5437701,25.05616582
民生興安藥局,臺北市中山區民生東路3段90之1號,(02)25018310,121.543538,25.05745882
啟美藥師藥局,臺北市中山區錦州街282號,(02)25178032,121.5352375,25.06023864
龍江藥局,臺北市中山區龍江路356巷14號,(02)25023724,121.5402935,25.06591256
躍獅晴光藥局,臺北市中山區農安街23之2號,(02)25951393,121.5245403,25.06500749
德惠藥局,臺北市中山區德惠街122號,(02)25971131,121.5300424,25.06652212
金生藥局,臺北市中山區長安東路2段167之1號,(02)87729808,121.5406803,25.04842621
興康源藥局,臺北市中山區中山北路1段140巷8號,(02)25311248,121.5214016,25.05143389
富宥康藥局,臺北市中山區北安路608巷5弄22號,(02)25324769,121.5496274,25.08262868
淮濟藥師藥局,臺北市中山區北安路570號(實際營業地址:1樓及地下1樓),(02)85098636,121.548559,25.080761
逸帆藥局,臺北市中山區錦州街189號,,121.5312441,25.0604171
正傑健保藥局,臺北市中山區長安東路二段181號,(02)27310181,121.5425691,25.04838455
中山藥局,臺北市中山區林森北路128號,(02)25236979,121.5250397,25.05124953
保德明水藥局,臺北市中山區北安路608巷4弄1號,(02)85097769,121.5492907,25.08191229
廣福中西藥局,臺北市中山區錦州街406號,(02)25189489,121.5416596,25.06011408
大直健康藥局,臺北市中山區北安路591號,(02)25323310,121.5486435,25.08194407
娸淇藥局,臺北市中山區伊通街95號,(02)25082762,121.5348918,25.0530723
OK藥師藥局,臺北市中山區興安街95號,(02)25170068,121.5434646,25.05615461
昶青林森藥局,臺北市中山區林森北路119巷18號(1樓),(02)25639939,121.5258714,25.0504071
麗恩藥局,臺北市中山區林森北路575之5號,(02)25981982,121.5257983,25.06529877
建誠中西藥局,臺北市中山區龍江路385之1號,(02)25158608,121.5410461,25.06510644
誠意中西藥局,臺北市中山區林森北路613號,(02)25950951,121.5258246,25.06647284
長安藥局,臺北市中山區長安東路2段171之2號(1樓),(02)27772740,121.521914,25.049564
仁一藥局,臺北市中山區林森北路520號,(02)25711742,121.5255056,25.06232638
大直小太陽藥局,臺北市中山區北安路607-1號,(02)85093208,121.5487621,25.08240974
大直永安藥局,臺北市中山區北安路567之2號,(02)25332125,121.5481721,25.08072835
元宏藥局,臺北市中山區北安路458巷41弄49號,(02)25339728,121.5464584,25.07940104
聖晨藥局,臺北市中山區農安街140號,,121.5321651,25.06471241
錦州春天生活藥局,臺北市中山區錦州街213號、213號2樓,(02)25213586,121.532133,25.0604103
佳頤中西藥局,臺北市中山區長春路147之1號,(02)25641479,121.5323456,25.05495168
康銓藥局,臺北市中山區農安街174號,(02)25039393,121.5346414,25.06456845
禾全藥局,臺北市中山區龍江路332號,(02)25165721,121.5408713,25.06532285
十二願藥局,臺北市中山區林森北路309號,,121.5255679,25.05588048
禾康藥局,臺北市中山區植福路296號(實際營業地址:1層),,121.561177,25.0812457
大樹龍江藥局,臺北市中山區龍江路242號,(02)25035666,121.5406119,25.05888538
安悅藥局,臺北市中山區吉林路189號,(02)25419879,121.5303558,25.05970358
東東藥局,臺北市中山區長春路257之2號1樓,(02)25031730,121.5407535,25.05476915
誠果中西藥局,臺北市中山區吉林路101號1樓,(02)25238563,121.5302839,25.05618779
永育康暉藥局,臺北市中山區樂群二路210之2號1樓,(02)85012268,121.5593333,25.07951739
可康藥局,臺北市中山區林森北路373號(1樓),(02)25361078,121.5257301,25.0582221
專品龍江藥局,臺北市中山區龍江路311號1樓,(02)25178870,121.5408634,25.06127156
立赫民生藥局,臺北市松山區民生東路4段72號1樓,(02)27139200,121.5524163,25.0578685
康是美建華藥局,臺北市松山區南京東路5段1號1樓,(02)27607595,121.557434,25.0517706
富景藥局,臺北市松山區三民路145號1樓,(02)27455666,121.5630972,25.06078504
富凱延壽藥局,臺北市松山區延壽街95號1樓,(02)27455988,121.5664805,25.05720671
躍獅敦北藥局,臺北市松山區民生東路4段80巷5號(1樓),(02)27155691,121.555653,25.0580788
興宸藥局,臺北市松山區富錦街512號1樓,(02)27658970,121.5645186,25.06091416
躍獅京華藥局,臺北市松山區南京東路5段71號1樓,(02)27666508,121.5595616,25.05171475
榮星藥局,臺北市松山區南京東路四段１３３巷５弄１號,(02)27124696,121.5552348,25.05213652
東北藥局,臺北市松山區新東街３巷２號,(02)27612625,121.5659226,25.05754042
新光藥局,臺北市松山區八德路三段99巷4號,(02)25775672,121.5535281,25.04871727
健全藥局,臺北市松山區民權東路三段１０３巷２０號,(02)27128293,121.5449109,25.06326943
李得安藥局,臺北市松山區民生東路五段３６巷８弄１１號一樓,(02)87871655,121.5598565,25.05733299
瑞昌大藥局,臺北市松山區民權東路三段103巷10號,(02)27120030,121.5449185,25.06298433
德川中西藥局,臺北市松山區八德路4段96號,(02)27683399,121.5606599,25.0483598
德安藥局,臺北市松山區八德路3段195號2樓,(02)25782670,121.55619,25.04816251
禾宜藥局,臺北市松山區八德路3段12巷51弄16號1樓,(02)25780236,121.5511815,25.04608639
安世藥局,臺北市松山區南京東路四段１３３巷５弄９號,(02)27133405,121.5555618,25.05213981
明一藥局,臺北市松山區南京東路五段５９巷２８弄２５號１樓,(02)27691654,121.5581679,25.05270413
傑安藥局,臺北市松山區八德路二段４３７巷７弄８號１樓,(02)27524155,121.547337,25.04913916
仁弘藥局,臺北市松山區民生東路三段１１３巷２５弄６號１樓,(02)27136764,121.5465855,25.05948486
益華藥局,臺北市松山區民生東路五段１３８巷６號,(02)27624898,121.5615282,25.05842827
德靈藥局,臺北市松山區富錦街５４８號,(02)27646998,121.5666733,25.06177521
合生藥局,臺北市松山區南京東路五段１２３巷４５號１樓,(02)27602932,121.5607477,25.05363801
中崙五代全民藥局,臺北市松山區延吉街７之２號１樓,(02)25700079,121.5534991,25.04742353
上允藥局,臺北市松山區民生東路五段78號,(02)27696905,121.5590485,25.05836364
建東大藥局,臺北市松山區三民路９７號一樓,(02)27676237,121.5633976,25.05723452
延壽藥局,臺北市松山區延壽街３２７號,(02)27685159,121.5603628,25.05678588
萬泰藥局,臺北市松山區敦化北路222巷38號,(02)27135891,121.5471033,25.05994298
博荃藥局,臺北市松山區敦化北路4巷51號,(02)27316736,121.5447425,25.05006338
家音藥局,臺北市松山區民生東路五段73號,(02)37652080,121.5584887,25.05870895
中美藥局,臺北市松山區富錦街531號,(02)27627468,121.5654809,25.06128454
惠登藥局,臺北市松山區民生東路3段130巷34號,(02)25472432,121.546113,25.05619819
松田藥局,臺北市松山區延吉街9-6號,(02)25798005,121.55355,25.04700689
予志藥局,臺北市松山區富錦街521號,(02)27623522,121.5649443,25.06118636
婕登藥局,臺北市松山區八德路4段699號,(02)27482893,121.5766443,25.05020698
晨安藥局,臺北市松山區八德路三段155巷20弄2號,(02)25798460,121.5553264,25.0491374
銘德藥局,臺北市松山區八德路2段366巷28號,(02)27511833,121.545925,25.04724223
立康大藥局,臺北市松山區八德路四段2之1號,(02)27471749,121.5581109,25.04811673
躍獅松和藥局,臺北市松山區八德路四段666之1號,(02)27492569,121.5760924,25.04979019
京東藥局,臺北市松山區南京東路五段272號,(02)27679503,121.5669451,25.05113968
晨新藥局,臺北市松山區八德路四段91巷1之1號,,121.5607609,25.04894395
綠之家藥局,臺北市松山區延壽街428號,,121.5562168,25.05619701
康采藥局,臺北市松山區南京東路五段291巷17之2號,(02)22578649,121.5662534,25.0523635
唯康藥局,臺北市松山區八德路3段211號,(02)25775000,121.5566366,25.04819629
台北長庚維康藥局,臺北市松山區敦化北路199巷2弄5號1樓,(02)27199386,121.5500336,25.05563366
芝欣藥局,臺北市松山區八德路3段148號,(02)25706677,121.5548153,25.0479919
立赫敦北藥局,臺北市松山區敦化北路222巷20號,(02)27199277,121.547743,25.05944652
健康活力藥師藥局,臺北市松山區民生東路五段219號,(02)27455556,121.5669297,25.05931013
啄木鳥藥局,臺北市松山區八德路四段209號(一、二層)、211號(一、二層),(02)27422413,121.5639568,25.04893714
玖田藥局,臺北市松山區八德路四段655號,(02)27666578,121.5755287,25.05017841
澄馨藥局,臺北市松山區三民路37號,(02)27589614,121.5635238,25.05580069
一安正昇藥局,臺北市松山區南京東路五段309號,(02)27680993,121.5666661,25.05155363
杏一延吉藥局,臺北市松山區八德路3段74巷45弄1號1樓,(02)25798450,121.5527172,25.04624327
新德大藥局,臺北市松山區饒河街204號,(02)27474473,121.5770352,25.05074271
光點延新藥局,臺北市松山區延壽街101號,(02)27667795,121.5659705,25.05716171
杏一台北長庚藥局,臺北市松山區敦化北路199巷2弄3號,(02)25149463,121.5500378,25.05568488
安禾大藥局,臺北市松山區撫遠街382號,(02)27602952,121.5656249,25.06442948
巧心藥局,臺北市松山區八德路3段12巷57弄39之3號1樓,(02)25703728,121.5521399,25.04567413
慶昌藥局,臺北市松山區延吉街29號1樓,(02)25770820,121.5537055,25.04594889
順儷中崙藥局,臺北市松山區八德路3段74巷48號1樓,(02)25796900,121.5524496,25.04684933
家育藥局,臺北市松山區民生東路5段216號1樓,(02)27678639,121.5650468,25.0588484
佑翔藥局,臺北市松山區民生東路5段95號1樓,(02)87875070,121.5596903,25.05880508
杏一台北台安藥局,臺北市松山區八德路2段399號1樓,(02)87728295,121.5465282,25.04832767
全欣藥局,臺北市松山區復興北路73號2樓,(02)87729066,121.5442384,25.05105069
駿俏藥局,臺北市松山區八德路2段397號1樓,(02)87728085,121.5464705,25.04832788
佑全松山南京東藥局,臺北市松山區南京東路5段291巷7號1樓,(02)27687807,121.5662465,25.05200522
豐澤藥局,臺北市松山區南京東路3段269巷6之9號(1樓),(02)27169636,121.5453225,25.0520302
南京春天藥局,臺北市松山區南京東路4段139號(1樓),(02)27186155,121.550072,25.051152
美仁藥局,臺北市松山區健康路5之1號1樓,(02)27166112,121.5524947,25.0525084
誠康中西藥局,臺北市松山區南京東路5段59巷31弄43號1樓,(02)27619679,121.5607228,25.05345802
大樹松山藥局,臺北市松山區民生東路5段107號1樓,(02)27562226,121.5601395,25.05877584
康麗藥局,臺北市松山區南京東路3段303巷20號(1樓),(02)27174117,121.5466693,25.051984
達昌健康藥局,臺北市松山區健康路100號(1樓),(02)27125220,121.5549068,25.0533509
立健美中西藥局,臺北市松山區民權東路3段106巷1號1樓,(02)25473929,121.5449855,25.06176721
吉仁藥局,臺北市松山區延吉街44號1樓,(02)25776115,121.5535737,25.0455101
專品南京藥局,臺北市松山區南京東路4段73號1樓,(02)25147685,121.5531673,25.05184566
欣生藥局,臺北市松山區民生東路5段138巷1號(1樓),(02)27567611,121.5556082,25.05843439
新東藥局,臺北市松山區民生東路5段191號(1樓),(02)27656336,121.5556082,25.05843439
萬芯中西藥局,臺北市松山區八德路3段163號(1樓),(02)25770519,121.5553382,25.0481861
領悅藥局,臺北市松山區民生東路4段117之1號(1樓),(02)25679951,121.555653,25.0580788
奇異果大安藥局,臺北市大安區大安路1段190號,(02)23250891,121.5458879,25.03572592
康維健保藥局,臺北市大安區敦化南路1段329巷15號,(02)27000120,121.5500224,25.03424597
威康藥局,臺北市大安區和平東路2段297號,(02)27061149,121.5447391,25.0249461
專品六張犁藥局,臺北市大安區基隆路2段217號1樓,(02)87322226,121.5512826,25.02298927
早安藥局,臺北市大安區建國南路2段151巷42號1樓,(02)27002209,121.5395782,25.02864779
躍獅敦和藥局,臺北市大安區和平東路3段10號,(02)23785767,121.5469927,25.02452694
弘昌藥局,臺北市大安區通化街139號,(02)27321616,121.5539772,25.02901029
博醫仁愛藥局,臺北市大安區仁愛路4段8巷2號1樓,(02)27019107,121.5442928,25.03749754
鎮安中西安和藥局,臺北市大安區安和路1段123號1樓,(02)27015201,121.5526808,25.03488056
十二願永藥局,臺北市大安區永康街49號1樓,(02)33433553,121.52959,25.03008262
佳鄰藥局,臺北市大安區敦化南路1段191號地下之124至129,(02)27211259,121.5492632,25.04247291
信義欣辰藥局,臺北市大安區信義路4段265巷15號1樓,,121.554487,25.03408233
中力信義藥局,臺北市大安區信義路4段51號1樓,(02)23250266,121.5449973,25.03354393
伊生藥局,臺北市大安區安和路1段21巷26號1樓,(02)27755613,121.5516645,25.03939343
宏大藥師藥局,臺北市大安區大安路2段88號1樓,,121.5459549,25.03142561
康祥藥局,臺北市大安區忠孝東路4段216巷21號1樓、216巷19弄2號(1樓),(02)27817891,121.5334554,25.04200329
百立藥局,臺北市大安區和平東路3段228巷66號1樓,(02)27327211,121.5534066,25.02099519
吉成藥局,臺北市大安區泰順街7號（1樓）,(02)23636475,121.5316651,25.0256171
